Compound,Date,Negative,Neutral,Positive,Text,Tweets Ago,User
0.0,Mon Mar 19 14:30:08 +0000 2018,0.0,1.0,0.0,"Meet the dancing slum kids tipped for stardom by Rihanna ?
https://t.co/R61fzQGIzd https://t.co/wGcvBKmdaZ",29,@BBC
0.6588,Mon Mar 19 13:44:55 +0000 2018,0.0,0.788,0.212,"RT @bbcgetinspired: The Nation's Billion Steps Challenge is here! ? 

Yesterday we did an amazing 431 million steps – can we do even better…",30,@BBC
-0.3412,Mon Mar 19 13:03:04 +0000 2018,0.112,0.888,0.0,"? ""There's always that voice in the back of your head that says you're not good enough"". 

 ? @CarrieHFletcher on b… https://t.co/0AsBxFFiQA",31,@BBC
0.0,Mon Mar 19 12:55:17 +0000 2018,0.0,1.0,0.0,RT @BBCRadioScot: This must have been some buzz! ??? https://t.co/0gqtbQBN1i,32,@BBC
0.0,Mon Mar 19 12:30:05 +0000 2018,0.0,1.0,0.0,Where are the UK's youngest and oldest city populations? https://t.co/eIU7UzqHBS https://t.co/vdXMTDluuX,33,@BBC
-0.0516,Mon Mar 19 11:50:58 +0000 2018,0.107,0.893,0.0,RT @BBCSport: This 102-shot badminton rally will leave you exhausted... https://t.co/LFC4r4iwiz,34,@BBC
0.4588,Mon Mar 19 11:33:04 +0000 2018,0.0,0.857,0.143,"Have you got a passion for plants? ?????

Test your knowledge of all things foliage in this quiz. ?… https://t.co/evogV5ljAc",35,@BBC
0.0,Mon Mar 19 10:53:19 +0000 2018,0.0,1.0,0.0,"RT @BBCSport: ? The Commonwealth Games are almost upon us! ?

Scotland's Lynsey Sharp has given us the inside track on preparing for succes…",36,@BBC
0.5106,Mon Mar 19 10:33:03 +0000 2018,0.0,0.837,0.163,The oldest dog that the Dogs Trust has ever looked after has been given a new home. ????https://t.co/h0WQHkfMEf https://t.co/ixb7gesOIj,37,@BBC
-0.3818,Mon Mar 19 09:58:24 +0000 2018,0.191,0.809,0.0,"RT @BBCR1: Desperately searching for any signs of spring like... ?

#MondayMotivation https://t.co/9jo3h4C7bu",38,@BBC
0.4199,Mon Mar 19 09:58:15 +0000 2018,0.0,0.843,0.157,"RT @BBCRadioWales: ?? Snowy Cardiff! ?? 

What’s it like for you?

#ButePark 
#Cardiff 
#MiniBeast
#Snow https://t.co/O8gY1qjHVE",39,@BBC
0.0,Mon Mar 19 09:58:10 +0000 2018,0.0,1.0,0.0,"RT @BBCNews: Stem cell transplant ""game changer"" for MS patients https://t.co/BGWtdtXUAP",40,@BBC
0.128,Mon Mar 19 09:57:58 +0000 2018,0.079,0.789,0.133,RT @BBCBreakfast: Anyone want to play a game of spot Tracey's feet? Our floor manager Tracey had to dive behind the sofa to avoid being on…,41,@BBC
0.3642,Mon Mar 19 09:32:02 +0000 2018,0.0,0.848,0.152,"'Who wants a normal life?' We should all be a little more like @chessmartinez. ?? #LiveAtTheApollo

https://t.co/VddL8zWJfS",42,@BBC
0.0,Mon Mar 19 09:27:50 +0000 2018,0.0,1.0,0.0,"RT @BBCWthrWatchers: Some incredible photos sent in last night of the #Auroraborealis from Skye Woody, Cumbrian stargazer and DJStewie.  Di…",43,@BBC
0.5994,Mon Mar 19 08:45:02 +0000 2018,0.0,0.738,0.262,Beautiful spring blossom in south-west China has been captured by drone https://t.co/WTo7JjiKXw,44,@BBC
-0.296,Mon Mar 19 08:02:00 +0000 2018,0.109,0.891,0.0,"? Should we still be worried about the hole in the ozone layer?

? @SimonOKing and @clarenasir investigate in their… https://t.co/SZV3Df9y0t",45,@BBC
0.0,Sun Mar 18 20:30:11 +0000 2018,0.0,1.0,0.0,"?? @LesDennis, @SimplySusannah, @Tameka_Empson and Miles Jupp embark on a muscle-grinding mission to regain their f… https://t.co/B1rXaalmk2",46,@BBC
0.0258,Sun Mar 18 20:03:04 +0000 2018,0.086,0.824,0.09,?? Fans of K-Pop boyband member @IBGDRGN have been asked to stop sending fan mail to the army base where he's doing… https://t.co/ojtDZ3gMfb,47,@BBC
0.5994,Sun Mar 18 19:33:04 +0000 2018,0.0,0.803,0.197,"Saoirse Ronan stars as Eilis, a young girl who jumps at the chance of a better life when she emigrates to New York.… https://t.co/NtHAfh6cjZ",48,@BBC
-0.5994,Sun Mar 18 18:44:02 +0000 2018,0.163,0.837,0.0,"Ruth Ellis was only 28 when she became the last woman hanged to death in the UK. 

#TheRuthEllisFiles | Watch on… https://t.co/5kUIFtom7t",49,@BBC
0.204,Sun Mar 18 18:34:14 +0000 2018,0.077,0.772,0.151,"RT @BBC_TopGear: 840bhp goes a little like this…

@Matt_LeBlanc takes the Dodge Challenger SRT #Demon to the drag strip in this Sunday’s @T…",50,@BBC
0.7331,Sun Mar 18 17:18:12 +0000 2018,0.0,0.66,0.34,"RT @bbcthree: Be honest, do you think you'll be this fit at 81? https://t.co/Eca0uGCF6b",51,@BBC
0.0,Sun Mar 18 17:04:03 +0000 2018,0.0,1.0,0.0,"?? How much food do you throw away? If you're a typical Brit, you probably think it's hardly any.

You're in denial… https://t.co/0bSCbRrZJr",52,@BBC
0.0,Sun Mar 18 16:33:17 +0000 2018,0.0,1.0,0.0,"????Zun Lee wants his photography to give a balanced and nuanced portrayal of black fatherhood.

?… https://t.co/LodRrr27fd",53,@BBC
0.0,Sun Mar 18 15:41:04 +0000 2018,0.0,1.0,0.0,"? A doctor explains why you can get pregnant and give birth without having a baby bump. 
? https://t.co/nVrSpQoTOT https://t.co/iEEOjZdBKL",54,@BBC
0.0772,Sun Mar 18 14:33:07 +0000 2018,0.0,0.947,0.053,RT @BBCEngland: A number of runners have held their own half-marathon in Reading after the official event was called off due to the snowy w…,55,@BBC
0.0,Sun Mar 18 14:28:23 +0000 2018,0.0,1.0,0.0,RT @BBCSport: They’ve done it! Gold for GB’s Menna Fitzpatrick and Jen Kehoe in the visually impaired slalom at the Winter Paralympics. And…,56,@BBC
0.0,Sun Mar 18 14:18:01 +0000 2018,0.0,1.0,0.0,?? Why a rise in electric cars could also mean a hike in the cost of your next phone. https://t.co/6i5xFQgRIW,57,@BBC
0.6369,Sun Mar 18 14:08:37 +0000 2018,0.0,0.682,0.318,RT @BBC6Music: ?? Which song has the greatest opening line?,58,@BBC
0.3182,Sun Mar 18 13:45:03 +0000 2018,0.0,0.905,0.095,?Pop music is awash with those that released one hit album and never followed it up. Here are 7 huge artists that o… https://t.co/4ukT9drcdG,59,@BBC
0.0,Sun Mar 18 13:00:08 +0000 2018,0.0,1.0,0.0,"?? Would you eat a burger pie?  
#BackInTimeForTea https://t.co/zGWzJwdSlM",60,@BBC
0.0,Sun Mar 18 12:29:50 +0000 2018,0.0,1.0,0.0,RT @BBCOne: If food is the language of love... https://t.co/5hnYovE94o,61,@BBC
-0.4588,Sun Mar 18 11:43:04 +0000 2018,0.167,0.833,0.0,"Ever wondered why David Bowie wore an eye patch?

Strange things artists have worn on stage and the reasons why. 
?… https://t.co/8zSBXQkLvy",62,@BBC
0.4939,Sun Mar 18 10:30:04 +0000 2018,0.0,0.826,0.174,"?? Want to learn how to bake bread?

These easy to follow recipes and step-by-step videos will have you baking ever… https://t.co/iXEmj5WJdD",63,@BBC
-0.4215,Sun Mar 18 10:00:08 +0000 2018,0.259,0.741,0.0,"“I regret spending £50,000 on my wedding.” https://t.co/6PxJsDf9dn https://t.co/eJdx7KMmmK",64,@BBC
0.0,Sun Mar 18 09:30:03 +0000 2018,0.0,1.0,0.0,"How to be 20 on the inside, even when you’re 80 on the outside... https://t.co/KB2mqpkrIB",65,@BBC
0.656,Sun Mar 18 09:19:33 +0000 2018,0.061,0.727,0.212,"RT @BBCNews: Snow and ice are bringing disruption to many parts of the UK - but they're not stopping everyone from having fun ???

https://…",66,@BBC
0.0,Sun Mar 18 09:10:02 +0000 2018,0.0,1.0,0.0,"RT @bbc5live: The beast from the east is back ????

You've been in touch this morning with your #uksnow pics, here are just a few...

What'…",67,@BBC
